,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,1.54E-01,3.33E-10,1.22E-08,1.25E-07,1.61E-10,3.54E-07,9.07E-08,6.92E-08,4.07E-07,5.03E-08,5.37E-09,6.29E-08,6.29E-08,6.87E-07,3.44E-07,5.72E-08,1.27E-08,3.72E-07,1.33E-09,8.01E-08,3.94E-08,3.94E-08,1.78E-06,2.07E-08,7.21E-09,4.50E-09,8.88E-09,3.34E-05
Brain,3.33E-10,1.54E-03,1.95E-09,5.13E-09,2.16E-07,1.50E-10,1.29E-10,4.30E-11,4.72E-10,5.95E-11,7.71E-12,1.74E-09,1.74E-09,1.38E-10,5.28E-10,3.81E-09,9.22E-12,2.18E-10,1.79E-07,3.28E-08,4.32E-08,4.32E-08,4.10E-10,4.06E-09,1.55E-08,7.88E-12,8.14E-12,3.34E-05
Breasts,1.22E-08,1.95E-09,4.01E-03,3.85E-08,5.52E-09,8.45E-09,5.07E-09,4.22E-09,2.83E-08,5.51E-09,2.36E-10,8.54E-08,8.54E-08,5.08E-09,2.97E-08,7.02E-08,4.92E-10,1.82E-08,9.02E-09,1.63E-08,1.08E-08,1.08E-08,1.04E-08,8.91E-08,3.31E-08,2.00E-10,3.73E-10,3.34E-05
Esophagus,1.25E-07,5.13E-09,3.85E-08,5.72E-02,4.22E-09,4.53E-08,1.89E-08,1.22E-08,1.24E-07,1.06E-08,5.06E-10,4.45E-07,4.45E-07,4.12E-08,1.55E-07,2.53E-07,1.97E-09,1.47E-07,3.22E-08,2.45E-08,2.45E-08,2.45E-08,8.60E-08,3.62E-07,7.16E-07,1.12E-09,1.85E-09,3.34E-05
Eyes,1.61E-10,2.27E-07,5.52E-09,4.22E-09,1.34E-01,7.19E-11,8.04E-11,6.75E-11,4.82E-10,3.14E-11,7.44E-11,2.25E-09,2.25E-09,1.85E-10,6.65E-10,3.51E-09,3.54E-11,2.51E-10,1.28E-07,3.28E-08,4.32E-08,4.32E-08,3.74E-10,3.39E-09,1.39E-08,3.01E-11,1.39E-10,3.34E-05
Gallbladder Wall,3.51E-07,1.50E-10,8.45E-09,4.53E-08,7.19E-11,2.07E-05,2.59E-07,2.22E-07,7.06E-08,3.33E-07,1.48E-08,2.32E-08,2.32E-08,3.66E-07,3.10E-07,2.10E-08,3.48E-08,3.43E-07,3.42E-10,3.01E-08,1.41E-08,1.41E-08,4.81E-08,1.03E-08,3.63E-09,1.51E-08,3.01E-08,3.34E-05
LLI Wall,9.07E-08,1.29E-10,5.07E-09,1.89E-08,8.04E-11,2.59E-07,8.65E-06,2.17E-07,1.97E-07,6.28E-08,8.26E-08,2.59E-07,2.59E-07,1.21E-07,4.16E-08,1.57E-08,8.23E-08,1.17E-07,1.79E-10,7.70E-08,2.61E-08,2.61E-08,2.41E-07,4.53E-09,1.67E-09,5.61E-08,1.01E-07,3.34E-05
Small Intestine,6.92E-08,6.30E-11,4.22E-09,1.79E-08,9.89E-11,2.22E-07,2.17E-07,2.86E-06,1.27E-07,2.12E-07,8.35E-08,1.46E-08,1.46E-08,1.16E-07,5.23E-08,1.04E-08,1.70E-07,2.89E-07,2.45E-10,6.16E-08,1.95E-08,1.95E-08,8.36E-08,3.93E-09,1.50E-09,9.60E-08,2.29E-07,3.34E-05
Stomach Wall,3.87E-07,4.72E-10,2.83E-08,1.15E-07,4.82E-10,6.84E-08,1.97E-07,1.19E-07,4.75E-06,1.86E-08,4.03E-09,1.45E-07,1.45E-07,1.09E-07,8.78E-08,1.05E-07,7.51E-09,5.16E-07,1.94E-09,2.26E-08,1.46E-08,1.46E-08,5.74E-07,2.72E-08,1.18E-08,2.90E-09,6.19E-09,3.34E-05
ULI Wall,5.03E-08,5.03E-08,5.51E-09,1.06E-08,3.14E-11,3.33E-07,6.28E-08,2.12E-07,1.86E-08,5.48E-06,2.47E-08,9.98E-09,9.98E-09,1.05E-07,8.43E-08,7.90E-09,7.19E-08,9.80E-08,1.70E-10,5.21E-08,1.67E-08,1.67E-08,2.61E-08,3.07E-09,1.47E-09,2.22E-08,5.00E-08,3.34E-05
Rectum,5.37E-09,7.71E-12,2.36E-10,5.06E-10,7.44E-11,1.48E-08,8.26E-08,8.23E-08,4.03E-09,2.47E-08,1.03E-05,7.93E-10,7.93E-10,1.33E-08,3.81E-09,6.34E-10,5.38E-07,7.88E-09,5.58E-12,7.70E-08,2.61E-08,2.61E-08,4.51E-09,1.22E-10,4.85E-11,7.54E-07,1.27E-06,3.34E-05
Heart Wall,6.29E-08,1.93E-09,9.96E-08,4.45E-07,2.25E-09,2.21E-08,2.24E-08,1.33E-08,1.48E-07,9.98E-09,7.93E-10,2.71E-03,8.02E-03,2.26E-08,8.24E-08,2.75E-07,1.51E-09,7.45E-08,7.96E-09,3.11E-08,1.93E-08,1.93E-08,6.92E-08,4.32E-07,7.58E-08,5.58E-10,1.15E-09,3.34E-05
Kidneys,6.81E-07,1.38E-10,5.89E-09,4.12E-08,1.85E-10,3.57E-07,1.21E-07,1.09E-07,1.08E-07,1.05E-07,1.38E-08,2.24E-08,2.24E-08,7.27E-03,1.73E-07,2.34E-08,2.82E-08,2.07E-07,5.92E-10,5.73E-08,2.39E-08,2.39E-08,4.47E-07,7.13E-09,3.10E-09,9.16E-09,2.09E-08,3.34E-05
Liver,3.41E-07,5.55E-10,2.97E-08,1.55E-07,6.65E-10,3.02E-07,4.16E-08,4.81E-08,8.73E-08,8.42E-08,3.81E-09,8.24E-08,8.24E-08,1.72E-07,1.43E-03,1.08E-07,8.40E-09,2.67E-07,2.10E-09,2.78E-08,1.72E-08,1.72E-08,3.99E-08,4.60E-08,1.55E-08,3.30E-09,6.89E-09,3.34E-05
Lungs,6.55E-08,4.10E-09,7.02E-08,2.53E-07,3.51E-09,2.31E-08,1.57E-08,9.24E-09,1.09E-07,7.90E-09,6.34E-10,2.80E-07,2.80E-07,2.37E-08,1.11E-07,2.11E-03,1.38E-09,5.17E-08,1.60E-08,3.95E-08,2.52E-08,2.52E-08,6.02E-08,2.97E-07,1.57E-07,4.80E-10,1.07E-09,3.34E-05
Ovaries,1.27E-08,9.22E-12,4.92E-10,1.97E-09,3.54E-11,3.48E-08,8.23E-08,1.70E-07,7.51E-09,7.19E-08,5.38E-07,1.51E-09,1.51E-09,2.82E-08,8.40E-09,1.38E-09,1.82E-01,1.64E-08,1.47E-11,7.77E-08,2.31E-08,2.31E-08,9.06E-09,4.89E-10,4.08E-11,3.01E-07,1.16E-06,3.34E-05
Pancreas,3.75E-07,2.18E-10,1.82E-08,1.47E-07,2.51E-10,3.24E-07,1.17E-07,2.63E-07,5.01E-07,9.80E-08,7.88E-09,7.31E-08,7.32E-08,2.01E-07,2.59E-07,4.82E-08,1.64E-08,1.67E-02,9.57E-10,4.19E-08,2.20E-08,2.20E-08,2.75E-07,1.82E-08,6.16E-09,6.24E-09,1.36E-08,3.34E-05
Salivary Glands,1.33E-09,1.78E-07,9.02E-09,3.22E-08,1.28E-07,3.42E-10,1.79E-10,2.45E-10,1.94E-09,2.29E-10,5.58E-12,7.16E-09,7.16E-09,5.92E-10,2.10E-09,1.47E-08,1.47E-11,9.57E-10,2.86E-02,2.45E-08,2.45E-08,2.45E-08,1.04E-09,2.03E-08,8.74E-08,2.50E-10,6.43E-12,3.34E-05
Red Marrow,4.44E-08,1.89E-08,1.59E-08,9.82E-08,1.26E-08,4.05E-08,3.53E-08,3.33E-08,3.02E-08,2.62E-08,5.33E-08,4.94E-08,4.94E-08,4.31E-08,3.42E-08,6.62E-08,8.86E-08,4.51E-08,2.78E-08,2.23E-03,7.97E-08,1.11E-03,3.75E-08,7.06E-08,6.84E-08,4.22E-08,5.88E-08,4.83E-05
Osteogenic Cells,1.09E-07,2.41E-07,3.52E-08,1.92E-07,3.25E-07,1.00E-07,6.33E-08,7.08E-08,7.23E-08,4.83E-08,9.80E-08,1.03E-07,1.03E-07,9.48E-08,7.79E-08,1.33E-07,1.31E-07,1.20E-07,2.36E-07,1.50E-03,4.13E-03,4.02E-03,9.12E-08,1.31E-07,1.32E-07,6.50E-08,9.74E-08,2.96E-04
Spleen,1.75E-06,4.10E-10,1.21E-08,8.60E-08,3.74E-10,4.81E-08,2.41E-07,7.67E-08,5.57E-07,2.61E-08,4.51E-09,6.76E-08,6.76E-08,4.36E-07,3.97E-08,5.71E-08,9.06E-09,2.74E-07,1.04E-09,2.97E-08,1.84E-08,1.84E-08,1.54E-02,1.38E-08,7.03E-09,3.44E-09,7.31E-09,3.34E-05
Thymus,2.07E-08,4.06E-09,1.05E-07,3.62E-07,3.39E-09,1.00E-08,4.53E-09,3.93E-09,2.72E-08,3.07E-09,3.62E-10,4.54E-07,4.55E-07,3.10E-09,4.96E-08,3.11E-07,4.89E-10,1.90E-08,2.33E-08,2.55E-08,1.65E-08,1.65E-08,1.38E-08,1.00E-01,5.35E-07,1.63E-10,2.20E-10,3.34E-05
Thyroid,7.21E-09,1.55E-08,3.31E-08,7.16E-07,1.39E-08,3.63E-09,1.67E-09,1.02E-09,1.18E-08,1.47E-09,4.85E-11,8.13E-08,8.13E-08,2.93E-09,1.55E-08,1.48E-07,4.08E-11,6.16E-09,8.74E-08,2.45E-08,2.45E-08,2.45E-08,7.03E-09,4.96E-07,1.18E-01,3.83E-11,5.57E-10,3.34E-05
Urinary Bladder Wall,4.50E-09,5.09E-12,2.00E-10,1.12E-09,3.01E-11,1.51E-08,5.61E-08,8.04E-08,2.90E-09,2.22E-08,7.54E-07,5.58E-10,5.58E-10,7.86E-09,3.30E-09,4.80E-10,2.52E-07,6.24E-09,2.50E-10,2.77E-08,1.31E-08,1.31E-08,3.44E-09,1.63E-10,3.83E-11,5.37E-06,7.58E-07,3.34E-05
Uterus,8.88E-09,8.14E-12,3.73E-10,1.85E-09,1.39E-10,3.15E-08,1.01E-07,2.28E-07,6.19E-09,5.00E-08,1.38E-06,1.15E-09,1.15E-09,2.09E-08,6.89E-09,1.07E-09,1.11E-06,1.36E-08,6.43E-12,5.23E-08,1.62E-08,1.62E-08,7.31E-09,2.20E-10,5.57E-10,7.57E-07,2.51E-02,3.34E-05
Total Body,3.35E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,6.81E-08,6.86E-08,6.79E-08,5.99E-08,6.62E-08,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.35E-05,3.35E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,6.15E-08,3.35E-05,3.34E-05
