OLINDA - Organ Level INternal Dose Assessment Code (Version 2.2; copyright Vanderbilt University - 2012),,,,,,,,,,,,,,,,,,,,,,,,,,,
Decay series used,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dose Conversion Factors [mSv/MBq-s] - Nuclide:Ac-225 (10.00 d) for ICRP 89 Adult Male,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,3.37E-01,1.42E-10,2.96E-08,6.04E-11,7.39E-08,8.27E-08,3.34E-08,6.56E-08,3.57E-08,4.90E-09,2.01E-08,2.01E-08,4.42E-07,1.18E-07,1.72E-08,8.93E-08,6.27E-09,5.55E-10,2.72E-08,1.21E-08,1.21E-08,1.94E-07,2.92E-10,6.64E-09,3.14E-09,3.04E-09,6.47E-05
Brain,1.42E-10,3.26E-03,3.72E-09,6.32E-08,1.22E-10,1.11E-10,3.91E-11,3.63E-10,6.28E-11,6.65E-12,5.52E-10,5.52E-10,8.83E-11,2.36E-10,1.26E-09,1.82E-10,6.84E-12,6.25E-08,9.76E-09,1.43E-08,1.43E-08,1.94E-10,1.60E-12,1.18E-09,5.35E-09,3.65E-12,6.47E-05
Esophagus,3.12E-08,3.72E-09,1.18E-01,3.07E-09,1.82E-08,1.41E-08,7.24E-09,9.84E-08,8.44E-09,3.01E-10,1.16E-07,1.17E-07,1.27E-08,3.99E-08,7.51E-08,4.37E-08,8.18E-10,1.78E-08,8.34E-09,8.56E-09,8.56E-09,2.77E-08,6.15E-11,6.65E-08,2.18E-07,4.14E-10,6.47E-05
Eyes,6.04E-11,6.65E-08,3.07E-09,3.15E-01,2.65E-10,1.12E-10,6.38E-11,3.74E-10,2.90E-11,4.48E-11,7.69E-10,7.69E-10,9.73E-11,3.14E-10,1.03E-09,2.37E-10,2.77E-11,2.87E-08,9.76E-09,1.43E-08,1.43E-08,1.63E-10,5.80E-12,1.40E-09,3.41E-09,1.64E-11,6.47E-05
Gallbladder Wall,7.38E-08,1.22E-10,1.82E-08,2.65E-10,4.10E-05,4.31E-08,3.01E-08,2.33E-08,1.94E-07,3.18E-09,2.31E-08,2.31E-08,3.78E-08,1.84E-07,1.40E-08,4.49E-08,4.88E-09,4.43E-10,1.23E-08,4.76E-09,4.76E-09,9.80E-09,2.63E-10,8.44E-09,2.70E-09,2.38E-09,6.47E-05
LLI Wall,8.27E-08,1.11E-10,1.41E-08,1.12E-10,4.31E-08,2.84E-05,1.26E-07,6.95E-08,2.85E-08,3.85E-08,1.65E-08,1.65E-08,5.17E-08,1.55E-08,1.07E-08,1.87E-07,1.88E-08,2.47E-10,2.31E-08,8.28E-09,8.28E-09,5.71E-08,8.06E-10,4.13E-09,1.50E-09,9.35E-09,6.47E-05
Small Intestine,3.34E-08,3.91E-11,7.24E-09,9.81E-11,3.01E-08,1.26E-07,6.25E-06,2.91E-08,8.67E-08,5.45E-08,8.92E-09,8.92E-09,2.87E-08,1.50E-08,4.46E-09,9.99E-08,3.87E-08,1.31E-10,2.07E-08,6.35E-09,6.35E-09,1.66E-08,2.60E-09,2.52E-09,8.58E-10,2.83E-08,6.47E-05
Stomach Wall,6.16E-08,3.69E-10,9.89E-08,3.74E-10,2.21E-08,6.95E-08,1.89E-08,9.43E-06,6.05E-09,2.04E-09,8.18E-08,8.18E-08,2.47E-08,3.40E-08,5.25E-08,2.96E-07,2.20E-09,9.98E-10,8.92E-09,4.27E-09,4.27E-09,1.09E-07,1.44E-10,1.78E-08,7.14E-09,9.76E-10,6.47E-05
ULI Wall,3.57E-08,6.28E-11,8.44E-09,2.90E-11,1.94E-07,2.85E-08,5.64E-08,6.05E-09,1.49E-05,9.42E-09,1.26E-08,1.26E-08,3.41E-08,4.12E-08,6.30E-09,5.08E-08,1.54E-08,1.78E-10,1.73E-08,5.55E-09,5.55E-09,9.83E-09,1.33E-09,3.77E-09,6.50E-10,1.08E-08,6.47E-05
Rectum,4.90E-09,6.65E-12,8.65E-10,4.48E-11,3.18E-09,3.85E-08,5.45E-08,2.04E-09,9.42E-09,2.92E-05,7.49E-10,7.49E-10,9.55E-09,1.95E-09,5.03E-10,4.38E-09,2.07E-07,1.07E-11,2.31E-08,8.28E-09,8.28E-09,3.35E-09,1.36E-08,2.02E-10,1.34E-10,1.14E-07,6.47E-05
Heart Wall,1.87E-08,6.65E-10,1.05E-07,7.69E-10,2.25E-08,1.65E-08,8.92E-09,8.59E-08,1.26E-08,7.49E-10,4.63E-03,1.43E-02,8.68E-09,4.57E-08,8.07E-08,5.65E-08,9.40E-10,2.07E-09,1.20E-08,6.34E-09,6.34E-09,1.62E-08,6.26E-11,1.91E-07,1.96E-08,4.08E-10,6.47E-05
Kidneys,4.27E-07,9.84E-11,1.20E-08,9.60E-11,3.71E-08,5.17E-08,2.87E-08,2.54E-08,3.41E-08,9.55E-09,8.63E-09,8.63E-09,1.52E-02,5.05E-08,7.99E-09,3.67E-08,1.32E-08,2.42E-10,1.89E-08,6.92E-09,6.92E-09,1.14E-07,7.13E-10,3.16E-09,1.48E-09,4.54E-09,6.47E-05
Liver,1.15E-07,2.97E-10,3.56E-08,3.14E-10,1.76E-07,1.54E-08,1.50E-08,3.54E-08,4.12E-08,1.95E-09,4.58E-08,4.59E-08,5.02E-08,2.62E-03,3.72E-08,4.77E-08,3.16E-09,8.19E-10,9.86E-09,5.36E-09,5.36E-09,1.26E-08,1.94E-10,1.57E-08,5.78E-09,1.40E-09,6.47E-05
Lungs,1.62E-08,1.35E-09,6.73E-08,1.03E-09,1.34E-08,1.06E-08,4.46E-09,5.39E-08,6.31E-09,5.03E-10,8.00E-08,8.08E-08,7.88E-09,3.73E-08,3.94E-03,2.28E-08,6.33E-10,4.37E-09,1.25E-08,7.62E-09,7.62E-09,1.99E-08,4.20E-11,6.72E-08,4.89E-08,2.77E-10,6.47E-05
Pancreas,8.61E-08,1.82E-10,4.02E-08,2.37E-10,4.51E-08,1.85E-07,9.92E-08,3.12E-07,5.60E-08,4.38E-09,5.74E-08,5.74E-08,3.82E-08,4.88E-08,2.33E-08,3.37E-02,4.73E-09,5.03E-10,1.61E-08,7.16E-09,7.16E-09,6.17E-08,3.01E-10,1.25E-08,3.89E-09,2.05E-09,6.47E-05
Prostate,6.27E-09,6.84E-12,8.18E-10,2.77E-11,4.88E-09,1.88E-08,2.52E-08,2.20E-09,1.54E-08,2.07E-07,8.90E-10,8.90E-10,1.32E-08,3.16E-09,6.33E-10,4.73E-09,2.78E-01,9.56E-11,9.83E-09,4.28E-09,4.28E-09,3.87E-09,1.17E-08,2.47E-10,1.95E-10,1.55E-07,6.47E-05
Salivary Glands,5.55E-10,6.22E-08,1.78E-08,3.05E-08,3.66E-10,2.47E-10,8.52E-11,1.09E-09,1.78E-10,1.22E-11,2.04E-09,2.04E-09,2.42E-10,8.19E-10,4.37E-09,5.03E-10,1.13E-11,5.56E-02,8.34E-09,8.56E-09,8.56E-09,6.02E-10,1.56E-11,4.86E-09,2.37E-08,9.13E-12,6.47E-05
Red Marrow,1.47E-08,1.21E-08,2.46E-08,6.81E-09,7.30E-09,9.60E-09,8.24E-09,1.34E-08,7.63E-09,2.30E-08,1.44E-08,1.44E-08,1.31E-08,1.23E-08,2.31E-08,9.76E-09,3.11E-08,9.06E-09,4.04E-03,3.20E-08,2.02E-03,1.46E-08,3.23E-09,2.51E-08,1.87E-08,1.61E-08,9.51E-05
Osteogenic Cells,2.91E-08,5.54E-08,3.88E-08,6.07E-08,1.24E-08,1.65E-08,1.50E-08,2.21E-08,1.39E-08,2.49E-08,1.82E-08,1.82E-08,2.60E-08,1.80E-08,2.78E-08,1.86E-08,3.49E-08,5.55E-08,3.54E-03,9.81E-03,9.62E-03,2.49E-08,8.37E-09,2.28E-08,2.74E-08,2.14E-08,7.93E-04
Spleen,1.81E-07,1.94E-10,2.43E-08,1.63E-10,9.40E-09,5.71E-08,1.66E-08,1.09E-07,9.83E-09,3.35E-09,1.59E-08,1.59E-08,1.10E-07,1.25E-08,1.93E-08,5.83E-08,3.81E-09,5.90E-10,1.01E-08,5.47E-09,5.47E-09,3.15E-02,1.92E-10,6.18E-09,3.95E-09,1.29E-09,6.47E-05
Testes,2.93E-10,7.98E-13,5.43E-11,5.80E-12,2.63E-10,8.06E-10,1.69E-09,1.44E-10,1.33E-09,1.36E-08,5.92E-11,5.92E-11,7.13E-10,1.94E-10,4.20E-11,3.01E-10,1.09E-08,1.56E-11,3.31E-09,4.39E-09,4.39E-09,1.92E-10,1.35E-01,9.05E-11,2.47E-11,3.21E-08,6.47E-05
Thymus,5.71E-09,1.18E-09,5.86E-08,1.27E-09,7.53E-09,4.13E-09,1.64E-09,1.78E-08,3.77E-09,2.02E-10,1.82E-07,1.84E-07,2.76E-09,1.59E-08,6.24E-08,1.21E-08,2.47E-10,4.91E-09,9.46E-09,5.39E-09,5.39E-09,6.24E-09,9.05E-11,1.89E-01,8.33E-08,1.18E-10,6.47E-05
Thyroid,3.14E-09,5.35E-09,1.94E-07,3.41E-09,2.70E-09,1.50E-09,5.58E-10,7.14E-09,6.50E-10,7.56E-11,1.83E-08,1.83E-08,1.48E-09,5.78E-09,5.00E-08,3.89E-09,9.99E-11,2.49E-08,8.34E-09,8.56E-09,8.56E-09,3.95E-09,2.47E-11,9.11E-08,2.36E-01,9.39E-11,6.47E-05
Urinary Bladder Wall,3.04E-09,3.65E-12,4.14E-10,4.53E-11,2.38E-09,9.35E-09,1.84E-08,9.76E-10,1.08E-08,1.14E-07,4.08E-10,4.08E-10,4.54E-09,1.40E-09,2.77E-10,2.05E-09,1.63E-07,9.13E-12,9.83E-09,4.28E-09,4.28E-09,1.29E-09,3.21E-08,1.18E-10,9.39E-11,1.12E-05,6.47E-05
Total Body,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.19E-08,6.55E-08,6.50E-08,6.21E-08,6.44E-08,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.65E-08,6.47E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
